header,content,image,link
เป็นไปได้ไหมว่า ‘ไวรัสโคโรนา’ อาจถูกตัดต่อพันธุกรรมผสม HIV เป็นอาวุธชีวภาพ,เชื้อ ‘ไวรัสโคโรนา’ อาจจะเป็นอาวุธชีวภาพที่คนสร้างขึ้นมา,,https://cofact.org/article/2z54r6wb0wtgd
อย่าเชื่อ! แผ่นป้ายห้อยคอ ป้องกันไวรัส COVID-19,มีการขายแผ่นป้ายห้อยคอป้องกันโควิด 19,,https://cofact.org/article/3984fawxlvfbq
"วิจัย ""กระท่อม"" ทำลายเชื้อไวรัสโคโรน่า 2019",นายเทพไท เสนพงศ์ สส.นครศรีธรรมราช พรรคประชาธิปัตย์ กล่าวว่ากำลังให้นักวิจัยศึกษาว่าพืชกระท่อมสามารถใช้แก้โรคโควิด 19 ได้หรือไม่ ถ้าแก้ได้และทันสถานการณ์แพร่ระบาด เราก็จะดังไปทั่วโลก,,https://cofact.org/article/2iulmvf740kdp
ไม่ควรทำหน้ากากอนามัยจากกระดาษทิชชู่ ป้องกันไวรัสโควิด 19,มีคลิปแนะนำบนยูทูปและบลอกต่างๆเยอะมากที่สอนทำหน้ากากอนามัยจากกระดาษทิชชู่ เพื่อป้องกันโควิด 19,,https://cofact.org/article/lw2ynfdy3dm9
อันตราย! ทำแอลกอฮอล์ล้างแผลทำเจลล้างมือใช้เอง อาจฆ่าเชื้อโควิด 2019 ไม่ได้,แพทย์ มธ. เผยเจลล้างมือที่ฆ่าเชื้อ โควิด-19 ได้ ต้องมีความเข้มข้น 70% ให้ชัวร์ต้องใช้แอลกอฮอล์ล้างแผลเพราะไม่เข้มข้นมันไม่ตาย เตือนไม่ควรสัมผัสหน้ากากฝั่งสีเข้มหลังสวมใส่ อาจปนเปื้อนเชื้อได้,,https://cofact.org/article/4ph8s1kc9zdc
ใช้สมุนไพรผงอบเชยชงกับน้ำมะนาว เบกกิ้งโซดา และไวน์แดง ยับยั้งโควิด 19 ได้จริงหรือ?,สูตรรักษาไวรัสโคโรนา ใช้สมุนไพรผงอบเชยชงกับ น้ำมะนาว เบกกิ้งโซดา และไวน์แดง ให้ดื่มทุก 3 ชม. ก็จะหายเป็นปกติ,,https://cofact.org/article/2uxrxffmoim90
ดื่มน้ำอุ่นหรือน้ำร้อนป้องกันโคโรนาไวรัสได้หรือไม่?,ดื่มน้ำอุ่นหรือน้ำร้อนป้องกันโคโรนาไวรัส,,https://cofact.org/article/365vlqk6jzmun
ผู้ชายมีโอกาสเสียชีวิตจากเชื้อไวรัสโควิด 19 มากกว่าผู้หญิง,ผู้หญิงมีภูมิคุ้มกันโรคสูงกว่าผู้ชาย มีฮอร์โมนเอสโตรเจนซึ่งเป็นฮอร์โมนเพศหญิง ยังมีบทบาทสำคัญในการทำงานของระบบภูมิคุ้มกันร่างกาย,,https://cofact.org/article/3spuszwg43u6c
กลั้นหายใจ เช็คอาการไอ-แน่นหน้าอก ตรวจการติดเชื้อ ‘ไวรัสโคโรนา?,มีคำแนะนำที่ส่งต่อในโลกออนไลน์ว่าสามารถตรวจสอบปอดได้ด้วยตัวเอง ด้วยวิธีหายใจให้ลึกที่สุดแล้วกลั้นค้างไว้ 10 วินาที เพื่อเช็กว่าปอดติดเชื้อไวรัสโควิด-19 หรือไม่ ถ้าขณะกลั้นหายใจหากไม่พบอาการไอ แน่นหน้าอก แสดงว่าไม่ติดเชื้อไวรัสฯ,,https://cofact.org/article/1c8ujx4qnz2gr
จริงไหมว่า ถ้ารักษาความชุ่มชื้นของเยื่อเมือกลำคอ ไม่ให้ลำคอแห้ง ป้องกันโควิด 19?,ถ้าเยื่อเมือกลำคอแห้ง เชื้อโรคจะเกาะในลำคอ แล้วเข้าสู่ร่างกายได้,,https://cofact.org/article/s8971xrnnerz
โคโรน่าไวรัสไม่ได้ติดต่อผ่านมองตา แต่สามารถติดทางเยื่อบุตาได้,กระทรวงสาธารณสุข ยันไม่สามารถติดต่อได้จากการที่มองตากัน แต่การจะติดเชื้อนั้นเกิดจากเมื่อผู้ติดเชื้อมีการไอหรือจาม แล้วมีละอองออกมาข้างนอก,,https://cofact.org/article/skyw94xknnjm
เมื่อติดเชื้อโคโรนาไวรัสแล้ว ไม่ได้ทำให้เสียชีวิตทุกราย,จากข่าวลือในโลกออนไลน์ที่ว่า หากติดเชื้อไวรัสโคโรนาแล้วจะทำให้เสียชีวิตทุกรายในเวลาอันสั้นนั้น,,https://cofact.org/article/fxyy6iu79gmv
การมีเพศสัมพันธ์จะเสี่ยงติดโควิด 19 หรือไม่?,จากการระบาดของไวรัสโคโรนาทำให้หลายคนสงสัยหรือมีความกังวลว่าการมีเพศสัมพันธ์จะเสี่ยงติดโควิด 19 หรือไม่?,,https://cofact.org/article/qce5w62bzh8b
ผู้ป่วยโรคเบาหวาน โรคความดันโลหิตสูง โรคหัวใจ  มีโอกาสเสียชีวิตจากโควิด 19 มากกว่าคนปกติอย่างน้อย 5 เท่า,"ในการวิเคราะห์ขนาดใหญ่ครั้งแรกในผู้ติดเชื้อมากกว่า 44,000 ในประเทศจีน อัตราการเสียชีวิตในผู้สูงอายุสูงกว่าคนวัยกลางคนถึง 10 เท่า",,https://cofact.org/article/kklydcevvy6z
จริงไหมที่ว่า ปอดของคนไข้ที่อักเสบจากเชื้อโคโรน่าไวรัสจะฟื้นสภาพดีขึ้นไม่ได้,มีกระแสข่าวจากเว็บที่มาจากจีนว่า หากเนื้อปอดถูกทำลายไปแล้วไม่สามารถซ่อมแซมขึ้นมาใหม่ได้ และหมอหลายคนบ้านเราก็บอกว่าถ้าเชื้อไวรัสลงไปที่ปอดแล้วปอดจะฟื้นตัวไม่ได้ ก่อนได้ชื่อโควิด-19 ไวรัสโคโรนาสายพันธุ์ใหม่ตัวนี้เคยถูกเรียกว่า “โรคปอดติดเชื้อไวรัสลึกลับ” เพราะไม่สามารถระบุได้ว่าติดเชื้อจากไวรัสชนิดใด ที่สำคัญแพร่เชื้อได้รวดเร็วกว่าซาร์ส และเมอร์ส คนที่มีภาวะปอดอักเสบติดเชื้อ เนื้อปอดถูกจะทำลายมากกว่าร้อยละ 50 แม้หายจากโรค แต่ร่างกายอาจฟื้นตัวไม่ไหว บางรายถึงขั้นเสียชีวิต,,https://cofact.org/article/qfpm9lj52zpn
พืชกระท่อมสามารถทำลายเชื้อไวรัสโคโรนาในเวลาเพียง 0.05 วินาที เชื่อได้ไหม?,มีคนเผยแพร่ภาพในอินเทอร์เน็ตที่มีข้อความว่า:,,https://cofact.org/article/1czf13k72xwya
ดื่มน้ำต้มกระเทียมรักษาโรคจากไวรัสโคโรนาได้จริงหรือ?,มีกระแสในอินเทอร์เน็ตว่า การดื่มน้ำต้มกระเทียม ช่วยรักษาโรคโควิด-19 ได้,,https://cofact.org/article/2ow2c60jj6r9f
มีคนขายป้ายห้อยคอต้านไวรัสบนอินเทอร์เน็ต,มีการนำสินค้าที่เป็นสร้อยคอออกมาขาย บอกว่าเป็นสร้อยคอประจุไฟฟ้าลบต้านต้านไวรัสโคโรนาต้านไวรัส มีสารคลอรีนไดออกไซด์,,https://cofact.org/article/3li624881j1u6
มีกระแสข่าวว่าเชื้อโคโรน่าไวรัสเป็นอาวุธชีวภาพของรัฐบาลจีนหรือไม่ก็สหรัฐเก็บไว้แล้วทำพลาดหลุดออกมา?,ทั้งสหรัฐฯ และจีนต่างเคยสนใจที่จะสร้างอาวุธชีวภาพ ด้านสงครามเชื้อโรค,,https://cofact.org/article/2g3o23phpxjyk
ไม่จริง!! ไวรัสโคโรนาสายพันธุ์ใหม่ผสมกับไวรัสไข้หวัดนก H5N1 จนเป็นเชื้อรุนแรง,เนื่องจากมีข่าวลือว่าไวรัสโคโรนาสายพันธุ์ใหม่ (2019-nCoV) กับไวรัสไข้หวัดนก H5N1 จนเป็นเชื้อที่รุนแรงมาก ในกรณีนี้ทางห้องปฏิบัติการไวรัสวิทยาและเซลล์เทคโนโลยี ศูนย์พันธุวิศวกรรมและเทคโนโลยีชีวภาพแห่งชาติ (ไบโอเทค) สวทช. ออกมาเปิดเผยว่า ไม่มีทางที่ไวรัสโคโรนาสายพันธุ์ใหม่ (2019-nCoV) กับไวรัสไข้หวัดนก H5N1 จะแลกเปลี่ยนพันธุกรรมกันได้ เพราะเป็นเชื้อไวรัสคนละตระกูลที่ไม่สามารถผสมกันได้,,https://cofact.org/article/3knpfse16opa1
"สั่งของออนไลน์จากจีน โอกาส ""ติดเชื้อไวรัสโคโรนา (2019-nCoV) น้อย""",เชื้อไวรัสโคโรนาจะไม่ทนต่อการเปลี่ยนแปลงของอุณหภูมิของสิ่งแวดล้อม อีกทั้งยังมีระยะเวลาการขนส่งนาน จำนวนไวรัสที่เหลือรอดมีน้อยดีที่สุด และควรเช็ดแอลกอฮอล์สิ่งของที่ส่งมาก่อนใช้,,https://cofact.org/article/jffgusv8gia4
ระวัง! ดื่มน้ำแก้วเดียวกันเสี่ยงติดโควิด 19,ผู้ว่าราชการจังหวัดกาฬสินธุ์ แถลงพบผู้ป่วยติดเชื้อ COVID-19 เพิ่มอีก 1 คน เป็นหญิงวัย 25 ปี รับประทานอาหารและกินน้ำแก้วเดียวกันกับเพื่อนชาว จ.หนองคาย ซึ่งเป็นป่วยผู้ยืนยัน COVID-19,,https://cofact.org/article/2prs2yykv6182
เชื้อไวรัสโคโรนาสามารถแพร่กระจายเชื้อไวรัสทางอากาศ (airborne transmission),"นพ.มนูญ ลีเชวงวงศ์ แพทย์เฉพาะทางด้านโรคระบบการหายใจ โรงพยาบาลวิชัยยุทธ โพสต์ข้อความผ่านเฟซบุ๊ก ""หมอมนูญ ลีเชวงวงศ์ FC"" ระบุถึงข้อมูลล่าสุด ที่สนับสนุนว่า ผู้ป่วยโควิด-19 ระยะฟักตัว สามารถแพร่กระจายเชื้อไวรัสทางอากาศ (airborne transmission) ไม่ต่างจากวัณโรค",,https://cofact.org/article/246nv5f2icndo
'ฟ้าทะลายโจร' ควรกินเสริมภูมิต้านโควิด-19 หรือไม่?,จากปรากฏการณ์ประชาชนออกมาซื้อฟ้าทะลายโจรจนขาดตลาด เพราะมีกระแสข่าวว่าหากรับประทานฟ้าทะลายโจรแล้วจะเสริมภูมิคุ้มกันร่างกายเพื่อให้สามารถต้านเชื้อโคโรนาไวรัสได้ ปัจจุบันนี้ยังไม่มีงานวิจัยออกมารองรับเรื่องฟ้าทะลายโจรในการรักษาหรือป้องกันโคโรนาไวรัส และแพทย์แผนไทยได้ออกมาเตือนให้ระวังเรื่องการใช้ฟ้าทะลายโจร เพราะเป็นสมุนไพรต้องใช้อย่างระมัดระวังเป็นอย่างมาก หากใช้ไม่ถูกต้องจะให้ผลร้ายมากกว่าผลดี,,https://cofact.org/article/29wumopku0yak
กลั้วคอด้วยน้ําอุ่นผสมเกลือและน้ำส้มสายชู ขจัดเชื้อโคโรน่าไวรัสได้ไหม?,สืบเนื่องจากมีคนแชร์ข้อความเรื่องการอมและบ้วนน้ำเกลือเพื่อฆ่าเชื้อไวรัส ดังนี้,,https://cofact.org/article/evpcohpjj1e7
ระวัง! เชื้อโคโรน่าสายพันธ์ใหม่ 2019 จะติดอยู่บนธนบัตร,องค์การอนามัยโลก (WHO)เตือนให้ประชาชนหลีกเลี่ยงการหยิบจับและสัมผัสธนบัตร หรือเหรียญในการจับจ่ายซื้อสินค้า ช่วงที่มีการแพร่ระบาดของโรคโควิด-19 เนื่องจากธนบัตรและเหรียญถูกเปลี่ยนมือไปอย่างรวดเร็วและอาจมีเชื้อไวรัส หรือแบคทีเรียติดอยู่เป็นเวลานานหลายวัน โดยระยะนี้จะปลอดภัยกว่าหากเปลี่ยนไปใช้จ่ายเงินออนไลน์หรือจ่ายผ่านบัตรเครดิตแทน,,https://cofact.org/article/3bpoj98r95vqw
เชื้อโคโรนาไวรัสสายพันธุ์ใหม่แพร่ผ่านการโดนยุงกัดได้ไหม?,มีหลายคนสงสัยว่าถ้ายุงกัดคนไข้ที่มีเชื้อไวรัสโคโรนาสายพันธุ์ใหม่ แล้วมากัดคนปกติอีกทอด บุคคลที่ถูกกัดคนนั้นจะติดเชื้อหรือไม่?,,https://cofact.org/article/3pr3ycdrevwu3
ให้ระวังอย่าโดนฝน! จะมีพายุฝนเหลืองจากประเทศจีนที่จะมีทั้งเชื้อโรคและสารเคมีมาด้วย ข่าวนี้เชื่อได้ไหม?,"มีข่าวลืออีกหนึ่งข่าว บอกทำนองว่า ""ให้ระวัง วันที่ 2-3-4 นี้ จะมีพายุฝนมาจากประเทศจีน มีเชื้อโรค พร้อมทั้งสารเคมี เขาเรียกว่า ฝนเหลือง อย่าโดนฝนเด็ดขาด เป็นไปตามพุทธทำนาย"" ?!?",,https://cofact.org/article/muuu6l57q7ux
ผลิตภัณฑ์ “นาโน สเปรย์” ฆ่าเชื้อโคโรนาไวรัสได้จริงไหม?,"พบการโฆษณาจำหน่ายผลิตภัณฑ์ NANO SILVER Sanitizer Water Spray ทางสื่อออนไลน์ว่า ช่วยฆ่าเชื้อโรค เชื้อไวรัสและแบคทีเรียได้มากกว่า 3,000 ชนิด สามารถฉีดใส่มาส์กได้โดยไม่ทำลายมาส์ก แถมยังช่วยเพิ่มประสิทธิภาพในการป้องกันและทำลายเชื้อโรค ฆ่าเชื้อโรคต่อเนื่องนาน 8-10 ชั่วโมง อีกทั้งช่วยลดสิว ผดผื่น อาการแพ้ตามผิวหนัง โดยได้การรับรองจากมหาวิทยาลัยและหน่วยงานต่างๆ",,https://cofact.org/article/110yfgvyqqj5d
เชคว่าเจลแอลกอฮอล์ล้างมือเป็นของแท้หรือเป็นของปลอมโดยถูเจลแอลกอฮอล์กับใบเสร็จรับเงิน วิธีนี้เชคได้จริงไหม?,มีการแชร์คลิปในอินเทอร์เน็ตหลายคลิปที่มาสอนวิธีเชคว่าเจลแอลกอฮอล์ล้างมือเป็นของแท้หรือเป็นของปลอม โดยให้ถูเจลแอลกอฮอล์กับใบเสร็จรับเงิน ถ้าละลายหมึกได้ แสดงว่าของแท้ ถ้าไม่ได้แสดงว่าของปลอม,,https://cofact.org/article/19487yeymfaj0
ดื่มน้ำใบมะละกอปั่นสด ช่วยป้องกันและรักษา COVID-19 ได้ไหม?,เนื่องจากมีคนแนะนำให้นำใบมะละกอ 6 ใบ มาปั่นสดกับน้ำเปล่า รับประทานเพื่อป้องกันและรักษา COVID-19 เพิ่มภูมิคุ้มกันของร่างกาย ให้สู้กับโรคต่างๆได้,,https://cofact.org/article/336593s7ju9xj
ยังไม่มีงานวิจัยรองรับว่า อาหารไทยปักษ์ใต้และข้าวหมากแก้โควิด 19,มีการแชร์ข้อมูลว่า “ส่วนผสมของอาหารปักษ์ใต้ และข้าวหมาก มีสรรพคุณช่วยต้านเชื้อไวรัส COVID-19” ทางกระทรวงสาธารณสุข ได้ชี้แจงว่า ขณะนี้ยังไม่มีผลการศึกษาทางการแพทย์ที่สามารถยืนยันได้ว่าการรับประทานอาหารดังกล่าวจะช่วยป้องกันการติดเชื้อไวรัส COVID-19 ได้,,https://cofact.org/article/20sm9b0rdn1rt
ดื่มน้ำมะนาวฆ่าเชื้อโควิด19 ไม่ได้,กรณีที่มีการแชร์ข้อมูลในโลกออนไลน์ ถึงสรรพคุณของมะนาว ที่อ้างว่าสามารถรักษาโรคโควิด-19  จึงนำข้อมูลนี้ สอบถามกับแพทย์ผู้เชี่ยวชาญ ดร.นพ.พรเทพ ศิริวนารังสรรค นายกสมาคมเวชศาสตร์ป้องกัน แห่งประเทศไทย ระบุว่า มะนาวมีวิตามินซีสูง ช่วยให้ร่างกายมีภูมิคุ้มกันแต่ไม่สามารถฆ่าเชื้อไวรัสได้,,https://cofact.org/article/xw76fcqxroyy
"""พระครูท่านหนึ่งฝันว่าได้สูตรสมุนไพรหลายชนิดมาต้มดื่มแทนน้ำแก้โรคโควิด-19 ได้ เหมือนสมัยอยุธยาต้มแก้โรคห่า"" ?",มีข้อความที่เพื่อนจากพัทลุงส่งต่อให้เพื่อน เกี่ยวกับสูตรสมุนไพรแก้โรคโควิด-19 ดังนี้,,https://cofact.org/article/5zouk8hrl08g
จริงไหม ถ้าเขย่าแอลกอฮอล์ล้างมือแล้วเป็นฟอง แปลว่าเป็นของปลอม ทำจากน้ำยาเช็ดกระจก ?,เนื่องจากมีข่าวว่ามีการทำแอลกอฮอล์ล้างมือปลอมออกมาขาย จึงมีการเผยแพร่วิธีเชคว่าเป็นของจริงหรือไม่ออกมา ดังนี้,,https://cofact.org/article/1lxphxjdopbpt
พบลูกตำรวจ สภ. แม่ริม ติดเชื้อโควิด จำนวน 2 ราย จริงหรือ,ยาพาราเซตามอลปนเปื้อนเชื้อไวรัส,,https://cofact.org/article/1jjn686h58ua1
หากแพทย์ชี้ว่าเป็นผู้ต้องสงสัยติดเชื้อไวรัส COVID-19 สามารถใช้สิทธิประกันสังคม ตรวจและรักษาฟรี จริงหรือ?,หากติดเชื้อไวรัส COVID-19  มีความกังวลเรื่องค่าใช้จ่ายในการรักษาพยาบาล,,https://cofact.org/article/3vwwvz4k9pg2a
กรมควบคุมโรคแนะวิธีใช้สารเคมีทำความสะอาดให้เหมาะกับพื้นผิวเพื่อลดการแพร่กระจายเชื้อโควิด-19,กรมควบคุมโรคบอกวิธีใช้สารเคมีทำความสะอาดให้เหมาะกับพื้นผิว เพื่อลดการแพร่กระจายเชื้อโควิด-19,,https://cofact.org/article/2t62fl9qd1ky3
ดร.โกเมน พิบูลย์โรจน์ แนะใช้หลอดไฟยูวี ฆ่าเชื้อไวรัสโควิด-19,ดร.โกเมน พิบูลย์โรจน์ ผู้เชี่ยวชาญด้านการรักษาความมั่นคงปลอดภัยสารสนเทศ บ.ที-เน็ต จำกัด ได้พูดถึงนวัตกรรมใช้หลอดไฟยูวี ฆ่าไวรัสโควิด-19 ว่า ได้นำหลอดไฟยูวี ที่มีคุณสมบัติสามารถฆ่าเชื้อโรคได้ มาประยุกต์ใช้กับแผ่นฟอยล์ และภาชนะในการใส่ของที่ต้องการฆ่าเชื้อ ซึ่งถือเป็นการประดิษฐ์สิ่งของง่ายๆ ด้วยตัวเอง (D.I.Y.),,https://cofact.org/article/1dccnkstcw5pd
เสี่ยงตาย! ใช้ผ้าอนามัยแปะหน้ากากป้องกันโควิด 19,ในผ้าอนามัยมีสาร Super absorbent polymer ที่ดูดซับน้ำได้ในปริมาณมาก เอาไว้ดูดซับเลือดจากประจำเดือน เช่น สารโพลีอะครีลิกแอซิด (polyacrylic acid) สารโซเดียมโพลีอะครีเลต (sodium polyacrylate) เป็นต้น,,https://cofact.org/article/3abwf6ddizobs
เชื่อได้ไหม? คลิปคณบดีคณะแพทยศาสตร์ศิริราชบอกให้การกลั้วคอด้วยน้ำเกลืออุ่นๆ และดื่มน้ำมะนาว หรือน้ำขิง เพื่อล้างเชื้อไวรัสโควิด-19,หลังประเทศไทยเริ่มมีผู้ติดเชื้อโควิด 19 ก็ได้มีผู้นำคลิปเสียงของคณบดีคณะแพทยศาสตร์ศิริราชพยาบาล แจ้งวิธีการปฏิบัติตัวในช่วงการแพร่ระบาดของเชื้อไวรัสโควิด-19 โดยการกลั้วคอด้วยน้ำเกลืออุ่นๆ และดื่มน้ำมะนาว หรือน้ำขิง เพื่อล้างเชื้อไวรัสโควิด-19 จึงสงสัยว่าข้อความนี้น่าเชื่อถือหรือไม่?,,https://cofact.org/article/1uyl9ybvbk1d7
,้าว! 7-Eleven แจกคูปองมูลค่า฿ 500 ฟรีให้กับทุกคนเพื่อฉลองวันครบรอบ รับบัตรของขวัญฟรีได้ที่:     ,,https://cofact.org/article/ph9qlyw2ou4k
จริงหรือ มหาวิทยาลัย จุฬา ลดค่าเทอมให้นักศึกษา พร้อมมอบทุนการศึกษาอีกกว่า 5000 ทุน,จุฬาผลิตชุดตรวจ,,https://cofact.org/article/2tie10wnff9l3
ลือเด็กทารกอายุ 3 วันพูดได้ บอกให้รับประทานไข่ต้มป้องกันไวรัสโควิด-19,มีกระแสข่าวลือในหลายจังหวัด ว่าเด็กทารกอายุ 3 วันพูดได้ บอกให้รับประทานไข่ต้มก่อนเที่ยงคืนวันนี้ 27 มี.ค.63 ป้องกันไวรัสโควิด-19,,https://cofact.org/article/9d4odmu49mza
ผลกระเบา ช่วยรักษาโรคมะเร็ง จริงหรือ,สับปะรดสามารถทำลายเซลล์มะเร็งได้,,https://cofact.org/article/285y352z5rypp
ดื่มน้ำมะขามแขกวันละ 1 แก้ว ช่วยลดน้ำหนัก ได้จริงหรือไม่คะ,กินยาถ่ายหรือยาระบายช่วยลดน้ำหนักได้หรือ?,,https://cofact.org/article/354q36o7r66hu
,กินยาเฟนเตอมีน (Phentermine)  ลดน้ำหนักได้,,https://cofact.org/article/35hwc8j76bzry
จริงหรือ ห้ามดื่มกาแฟกับยาขยายหลอดลมTheophylline,ดื่มกาแฟป้องกันนิ่วได้ไหม?,,https://cofact.org/article/3qtc2a2ba4pir
อย. ยกเลิกเลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหาร เซเว่น เดย์ เซเว่น ดี,ใช้ “ไทรอยด์ฮอร์โมน” ลดน้ำหนักได้,,https://cofact.org/article/3hlcp26gc0wm3
กินนมเปรี้ยวผสมโซดาผอมจริงไหม,ใช้ยาขับปัสสาวะลดความอ้วนได้,,https://cofact.org/article/3kn394ig6jy77
คนปลูกเห็ดไม่กินเห็ด  คนขายเห็ดไม่กินเห็ด    เห็ดมีอันตรายจริงหรือ,กัญชารักษาโรคมะเร็งได้จริงไหม?,,https://cofact.org/article/287jig0myc7u8
กัญชาช่วยให้หลับสบายจริงหรือ,ใช้กัญชารักษาโรคจิต ซึมเศร้า หลงผิด ประสาทหลอนได้,,https://cofact.org/article/2brzjo9awz7w5
แมงดาทะเล มีพิษ กินแล้วอาจเสียชีวิตได้ จริงหรือ,นอนไม่หลับรับประทานขี้เหล็กช่วยได้,,https://cofact.org/article/2x27oeon06mpy
,พืชชื่อ คาวา (Piper methysticum) รักษาอาการวิตกกังวลได้,,https://cofact.org/article/3lu4shlqk1pvv
อย. ยกเลิกเลขสารบบอาหาร ผลิตภัณฑ์เสริมอาหาร เซเว่น เดย์ เซเว่น ดี,ชะเอมเทศปรับสีผิวขาวขึ้นได้จริงหรือ?,,https://cofact.org/article/3b3j2js7bfkck
ดื่มน้ำมะขามแขกวันละ 1 แก้ว ช่วยลดน้ำหนัก ได้จริงหรือไม่คะ,มะขามแขกยาระบายชั้นเลิศ,,https://cofact.org/article/59zz8uulaxee
,ใช้ชุมเห็ดเทศสมุนไพรแก้ท้องผูกชะงัด,,https://cofact.org/article/2dqvsny461yys
จริงหรือ งีบวันละนิด พิชิตโรคสมองเสื่อม,แปะก๊วยช่วยป้องกันความจำเสื่อมได้จริงไหม?,,https://cofact.org/article/cya0l67ql47k
คนปลูกเห็ดไม่กินเห็ด  คนขายเห็ดไม่กินเห็ด    เห็ดมีอันตรายจริงหรือ,กินสาหร่ายทะเลต้านสารพัดโรค,,https://cofact.org/article/ms24e4vivdwc
ผลิตภัณฑ์เสริมอาหาร PRACHYA ไม่ขออนุญาต อย. จริงหรือคะ,โสม (Ginsing) เป็นยาอายุวัฒนะ,,https://cofact.org/article/353dygmfcdo5d
4 สมุนไพร ใช้แก้ผมหงอกได้ จริงหรือ,บอระเพ็ดต้านแก่ได้,,https://cofact.org/article/sy9fvki2djvq
4 สมุนไพร ใช้แก้ผมหงอกได้ จริงหรือ,บอระเพ็ดสยบความชรา,,https://cofact.org/article/1iko3clptylfo
,ปวดท้องประจำเดือนใช้ว่านชักมดลูก,,https://cofact.org/article/3p08iv2x1ju2j
"ทุนการศึกษาปีละ 5,000 บาท ต่อเนื่อง 5 ปี สำหรับนักเรียน นักศึกษา ที่เป็นลูกของผู้เสียชีวิตจากโควิด ครับ 🙏 จริงหรือไม่",กระท่อมยาดีพื้นบ้านไทย,,https://cofact.org/article/zar2r08zhfb
กรมศาสนาประกาศงดกิจกรรมเข้าวัดถึงเดือนกันยายน 2563 ศูนย์ปฏิบัติธรรมเปิดได้ไหมช่วงโรคระบาดโควิด,สมุนไพรรักษาประจำเดือน,,https://cofact.org/article/1of7waow7djih
น้ำมะพร้าว,ดื่มน้ำมะพร้าวทุกวันช่วยผิวพรรณสดใส ,,https://cofact.org/article/1otakhgprgvx1
คนปลูกเห็ดไม่กินเห็ด  คนขายเห็ดไม่กินเห็ด    เห็ดมีอันตรายจริงหรือ,กินไก่มากเป็นโรคเกาต์,,https://cofact.org/article/3kfni2sx7sqba
