category,header,content,image,link
false,ดื่มน้ำอุ่นหรือน้ำร้อนป้องกันโคโรนาไวรัสได้หรือไม่?,ดื่มน้ำอุ่นหรือน้ำร้อนป้องกันโคโรนาไวรัส,,https://cofact.org/article/365vlqk6jzmun
true,ผู้ชายมีโอกาสเสียชีวิตจากเชื้อไวรัสโควิด 19 มากกว่าผู้หญิง,ผู้หญิงมีภูมิคุ้มกันโรคสูงกว่าผู้ชาย มีฮอร์โมนเอสโตรเจนซึ่งเป็นฮอร์โมนเพศหญิง ยังมีบทบาทสำคัญในการทำงานของระบบภูมิคุ้มกันร่างกาย,,https://cofact.org/article/3spuszwg43u6c
false,กลั้นหายใจ เช็คอาการไอ-แน่นหน้าอก ตรวจการติดเชื้อ ‘ไวรัสโคโรนา?,มีคำแนะนำที่ส่งต่อในโลกออนไลน์ว่าสามารถตรวจสอบปอดได้ด้วยตัวเอง ด้วยวิธีหายใจให้ลึกที่สุดแล้วกลั้นค้างไว้ 10 วินาที เพื่อเช็กว่าปอดติดเชื้อไวรัสโควิด-19 หรือไม่ ถ้าขณะกลั้นหายใจหากไม่พบอาการไอ แน่นหน้าอก แสดงว่าไม่ติดเชื้อไวรัสฯ,,https://cofact.org/article/1c8ujx4qnz2gr
false,จริงไหมว่า ถ้ารักษาความชุ่มชื้นของเยื่อเมือกลำคอ ไม่ให้ลำคอแห้ง ป้องกันโควิด 19?,ถ้าเยื่อเมือกลำคอแห้ง เชื้อโรคจะเกาะในลำคอ แล้วเข้าสู่ร่างกายได้,,https://cofact.org/article/s8971xrnnerz
false,โคโรน่าไวรัสไม่ได้ติดต่อผ่านมองตา แต่สามารถติดทางเยื่อบุตาได้,กระทรวงสาธารณสุข ยันไม่สามารถติดต่อได้จากการที่มองตากัน แต่การจะติดเชื้อนั้นเกิดจากเมื่อผู้ติดเชื้อมีการไอหรือจาม แล้วมีละอองออกมาข้างนอก,,https://cofact.org/article/skyw94xknnjm
middle,เมื่อติดเชื้อโคโรนาไวรัสแล้ว ไม่ได้ทำให้เสียชีวิตทุกราย,จากข่าวลือในโลกออนไลน์ที่ว่า หากติดเชื้อไวรัสโคโรนาแล้วจะทำให้เสียชีวิตทุกรายในเวลาอันสั้นนั้นในเอกสารเผยแพร่ หมอชวนรู้ ของแพทย์สภา บอกว่า ข้อมูลของผู้เสียชีวิตจากโรคนี้ ส่วนมากเป็นผู้ป่วยสูงอายุ เลยสร้างภูมิต้านทานช้าจนมาสู้เชื้อไม่ทัน และเป็นผู้ที่มีโรคปอดเรื้อรังอยู่แล้ว ทำให้ปอดอักเสบที่เกิดขึ้นจากการติดเชื้อรุนแรงและรวดเร็ว ทำห้เกิดภาวะการหายใจล้มเหลวเฉียบพลัน ส่วนผู้ที่มีปอดแข็งแรง ก็สามารถทนต่อการก่อโรคของเชื้อที่ค่อยๆ เพิ่มขึ้นจนถึงเวลาที่ภูมิต้านทานของผู้ป่วยเกิดมามากพอ จนต่อสู้ทำลายเชื้อก่อโรคได้ทันก่อนที่เนื้อปอดจะเสียหายจนแก้ไขไม่ทัน ผู้ป่วยที่แข็งแรงกว่าจึงป่วยและฟื้นตัวได้ทันจากภูมิต้านทานของตนเองhttps://tmc.or.th/pdf/tmc_knowlege-26.pdfURL is malformed or not supportedอัพเดทข้อมูลลิงก์อีกครั้ง,,https://cofact.org/article/fxyy6iu79gmv
mostly-false--middle,จริงไหมที่ว่า ปอดของคนไข้ที่อักเสบจากเชื้อโคโรน่าไวรัสจะฟื้นสภาพดีขึ้นไม่ได้,มีกระแสข่าวจากเว็บที่มาจากจีนว่า หากเนื้อปอดถูกทำลายไปแล้วไม่สามารถซ่อมแซมขึ้นมาใหม่ได้ และหมอหลายคนบ้านเราก็บอกว่าถ้าเชื้อไวรัสลงไปที่ปอดแล้วปอดจะฟื้นตัวไม่ได้ ก่อนได้ชื่อโควิด-19 ไวรัสโคโรนาสายพันธุ์ใหม่ตัวนี้เคยถูกเรียกว่า “โรคปอดติดเชื้อไวรัสลึกลับ” เพราะไม่สามารถระบุได้ว่าติดเชื้อจากไวรัสชนิดใด ที่สำคัญแพร่เชื้อได้รวดเร็วกว่าซาร์ส และเมอร์ส คนที่มีภาวะปอดอักเสบติดเชื้อ เนื้อปอดถูกจะทำลายมากกว่าร้อยละ 50 แม้หายจากโรค แต่ร่างกายอาจฟื้นตัวไม่ไหว บางรายถึงขั้นเสียชีวิต,,https://cofact.org/article/qfpm9lj52zpn
middle,พืชกระท่อมสามารถทำลายเชื้อไวรัสโคโรนาในเวลาเพียง 0.05 วินาที เชื่อได้ไหม?,"มีคนเผยแพร่ภาพในอินเทอร์เน็ตที่มีข้อความว่า:องค์การอนามัยโลกบิดบังเรา:พืชกระท่อมสามารถยับยั้งและทำลายเชื้อโคโรนาได้ โดยผลงานวิจัยจาก Profesor Yee T Bi หัวหน้าภาควิชาไวรัสวิทยา มหาวิทยาลัย Datissin ค้นพบว่าไมทราไจนีนในพืชกระท่อมนั้นสามารถทำลายไวรัสได้ภายใน 0.05 วินาที หลังจากรับประทาน และยังมีฤทธิ์ยับยั้งโรคต่างๆ ได้อีก 1975 โรคอ๋อ มันเป็นอย่างนี้นี่เอง by อาจารย์เจษฎ์https://www.facebook.com/OhISeebyAjarnJess/posts/832114000604988อ๋อ มันเป็นอย่างนี้นี่เอง by อาจารย์เจษฎ์ is on Facebook. To connect with อ๋อ มันเป็นอย่างนี้นี่เอง by อาจารย์เจษฎ์, join Facebook today.อ๋อ มันเป็นอย่างนี้นี่เอง by อาจารย์เจษฎ์ is on Facebook. To coอัพเดทข้อมูลลิงก์อีกครั้ง",,https://cofact.org/article/1czf13k72xwya
false,ดื่มน้ำต้มกระเทียมรักษาโรคจากไวรัสโคโรนาได้จริงหรือ?,มีกระแสในอินเทอร์เน็ตว่า การดื่มน้ำต้มกระเทียม ช่วยรักษาโรคโควิด-19 ได้โดยมีภาพที่ถูกแชร์ต่อมีข้อความเกี่ยวกับการนำเอากระเทียมมาต้มน้ำดื่มรักษาไวรัสโคโรนา และบอกวิธีปรุงมาด้วยคือใช้กระเทียม 8 ลูก (8 หัว) แกะเปลือกออก ต้มกับน้ำ 7 แก้ว ต้มจนกระเทียมสุก ดื่มวันละ 2 ครั้ง เช้า-เย็นครั้งละ 1-2 แก้ว ต่อครั้ง,,https://cofact.org/article/2ow2c60jj6r9f
false,มีคนขายป้ายห้อยคอต้านไวรัสบนอินเทอร์เน็ต,มีการนำสินค้าที่เป็นสร้อยคอออกมาขาย บอกว่าเป็นสร้อยคอประจุไฟฟ้าลบต้านต้านไวรัสโคโรนาต้านไวรัส มีสารคลอรีนไดออกไซด์ส่วน อย.ออกมาบอกแล้วว่า ยังไม่มีผลิตภันฑ์นี้ขึ้นทะเบียนกับ อย. จึงขอเตือนประชาชนว่าอย่าหลงเชื่อ,,https://cofact.org/article/3li624881j1u6
mostly-true--middle,"สั่งของออนไลน์จากจีน โอกาส ""ติดเชื้อไวรัสโคโรนา (2019-nCoV) น้อย""","เชื้อไวรัสโคโรนาจะไม่ทนต่อการเปลี่ยนแปลงของอุณหภูมิของสิ่งแวดล้อม อีกทั้งยังมีระยะเวลาการขนส่งนาน จำนวนไวรัสที่เหลือรอดมีน้อยดีที่สุด และควรเช็ดแอลกอฮอล์สิ่งของที่ส่งมาก่อนใช้NSTDA - สวทช.https://www.facebook.com/NSTDATHAILAND/photos/a.309493555826302/2594395010669467/?type=3&theater☀️ 6 ข้อเท็จจริงโรคอุบัติใหม่ ""ไวรัสโคโรนา (2019-nCoV)"" 🔹แหล่งต้นเชื้อแพร่ไวรัสโคโรนาสายพันธุ์ใหม่สู่คน ยังไม่ทราบชนิด 🔸สาเหตุการระบาด อาจไม่ใช่ ""งู"" 🔹เป็นแล้ว ""หายได้"" ไม่ตายทุกคน 🔸ล้างมือด้วย อัพเดทข้อมูลลิงก์อีกครั้ง",,https://cofact.org/article/jffgusv8gia4
middle,ระวัง! ดื่มน้ำแก้วเดียวกันเสี่ยงติดโควิด 19,ผู้ว่าราชการจังหวัดกาฬสินธุ์ แถลงพบผู้ป่วยติดเชื้อ COVID-19 เพิ่มอีก 1 คน เป็นหญิงวัย 25 ปี รับประทานอาหารและกินน้ำแก้วเดียวกันกับเพื่อนชาว จ.หนองคาย ซึ่งเป็นป่วยผู้ยืนยัน COVID-19กาฬสินธุ์พบป่วย COVID-19 เพิ่ม ติดจากดื่มน้ำแก้วเดียวกันhttps://news.thaipbs.or.th/content/290600ผู้ว่าราชการจังหวัดกาฬสินธุ์ แถลงพบผู้ป่วยติดเชื้อ COVID-19 เพิ่มอีก 1 คน เป็นหญิงวัย 25 ปี รับประทานอาหารและกินน้ำแก้วเดียวกันกับเพื่อนชาว จ.หนองคาย ซึ่งเป็นป่วยผู้ยืนยัน COVID-19 ทำให้มีผู้ป่วยติดเชอัพเดทข้อมูลลิงก์อีกครั้ง,,https://cofact.org/article/2prs2yykv6182
mostly-true--last,ระวัง! เชื้อโคโรน่าสายพันธ์ใหม่ 2019 จะติดอยู่บนธนบัตร,"องค์การอนามัยโลก (WHO)เตือนให้ประชาชนหลีกเลี่ยงการหยิบจับและสัมผัสธนบัตร หรือเหรียญในการจับจ่ายซื้อสินค้า ช่วงที่มีการแพร่ระบาดของโรคโควิด-19 เนื่องจากธนบัตรและเหรียญถูกเปลี่ยนมือไปอย่างรวดเร็วและอาจมีเชื้อไวรัส หรือแบคทีเรียติดอยู่เป็นเวลานานหลายวัน โดยระยะนี้จะปลอดภัยกว่าหากเปลี่ยนไปใช้จ่ายเงินออนไลน์หรือจ่ายผ่านบัตรเครดิตแทนนายสมบูรณ์ จิตเป็นธม ผู้ช่วยผู้ว่าการ สายออกบัตรธนาคาร ย้ำธปท.ห่วงใยประชาชนที่ใช้ธนบัตรในการใช้จ่าย โดย ธปท.มีมาตรการดูแลเรื่องนี้ คือ ธนบัตรที่หมุนเวียนกลับมาที่ ธปท. หากมีสภาพเก่ามากจะเข้าสู่กระบวนการทำลาย แต่หากยังมีคุณภาพดี สะอาด ก็จะมีการเก็บรวบรวมไว้ที่ ธปท. 14 วัน ก่อนส่งกลับไปหมุนเวียนในระบบสู่มือประชาชนต่อไป ทั้งนี้หากประชาชนมีความกังวล สามารถใช้แอลกอฮอล์ทำความสะอาดธนบัตรได้WHO แนะใช้จ่ายออนไลน์ เลี่ยงจับ ""ธนบัตร-เหรียญ""https://www.tnnthailand.com/content/32393อัพเดทข้อมูลลิงก์อีกครั้ง",,https://cofact.org/article/3bpoj98r95vqw
false,เชื้อโคโรนาไวรัสสายพันธุ์ใหม่แพร่ผ่านการโดนยุงกัดได้ไหม?,มีหลายคนสงสัยว่าถ้ายุงกัดคนไข้ที่มีเชื้อไวรัสโคโรนาสายพันธุ์ใหม่ แล้วมากัดคนปกติอีกทอด บุคคลที่ถูกกัดคนนั้นจะติดเชื้อหรือไม่?,,https://cofact.org/article/3pr3ycdrevwu3
false,ให้ระวังอย่าโดนฝน! จะมีพายุฝนเหลืองจากประเทศจีนที่จะมีทั้งเชื้อโรคและสารเคมีมาด้วย ข่าวนี้เชื่อได้ไหม?,"มีข่าวลืออีกหนึ่งข่าว บอกทำนองว่า ""ให้ระวัง วันที่ 2-3-4 นี้ จะมีพายุฝนมาจากประเทศจีน มีเชื้อโรค พร้อมทั้งสารเคมี เขาเรียกว่า ฝนเหลือง อย่าโดนฝนเด็ดขาด เป็นไปตามพุทธทำนาย"" ?!?",,https://cofact.org/article/muuu6l57q7ux
false,ผลิตภัณฑ์ “นาโน สเปรย์” ฆ่าเชื้อโคโรนาไวรัสได้จริงไหม?,"พบการโฆษณาจำหน่ายผลิตภัณฑ์ NANO SILVER Sanitizer Water Spray ทางสื่อออนไลน์ว่า ช่วยฆ่าเชื้อโรค เชื้อไวรัสและแบคทีเรียได้มากกว่า 3,000 ชนิด สามารถฉีดใส่มาส์กได้โดยไม่ทำลายมาส์ก แถมยังช่วยเพิ่มประสิทธิภาพในการป้องกันและทำลายเชื้อโรค ฆ่าเชื้อโรคต่อเนื่องนาน 8-10 ชั่วโมง อีกทั้งช่วยลดสิว ผดผื่น อาการแพ้ตามผิวหนัง โดยได้การรับรองจากมหาวิทยาลัยและหน่วยงานต่างๆ",,https://cofact.org/article/110yfgvyqqj5d
false,ดื่มน้ำใบมะละกอปั่นสด ช่วยป้องกันและรักษา COVID-19 ได้ไหม?,เนื่องจากมีคนแนะนำให้นำใบมะละกอ 6 ใบ มาปั่นสดกับน้ำเปล่า รับประทานเพื่อป้องกันและรักษา COVID-19 เพิ่มภูมิคุ้มกันของร่างกาย ให้สู้กับโรคต่างๆได้,,https://cofact.org/article/336593s7ju9xj
false,ยังไม่มีงานวิจัยรองรับว่า อาหารไทยปักษ์ใต้และข้าวหมากแก้โควิด 19,"มีการแชร์ข้อมูลว่า “ส่วนผสมของอาหารปักษ์ใต้ และข้าวหมาก มีสรรพคุณช่วยต้านเชื้อไวรัส COVID-19” ทางกระทรวงสาธารณสุข ได้ชี้แจงว่า ขณะนี้ยังไม่มีผลการศึกษาทางการแพทย์ที่สามารถยืนยันได้ว่าการรับประทานอาหารดังกล่าวจะช่วยป้องกันการติดเชื้อไวรัส COVID-19 ได้ศูนย์ต่อต้านข่าวปลอม เตือนอย่าแชร์! ""ต้าน COVID-19 ด้วยอาหารไทยปักษ์ใต้และข้าวหมาก"" เป็นข้อมูลเท็จhttps://www.js100.com/en/site/post_share/view/84175ศูนย์ต่อต้านข่าวปลอม เปิดเผยตามที่ได้มีข่าวปรากฎในสื่อออนไลน์ต่างๆ ในประเด็นเรื่อง ต้าน COVID-19 ด้วยอาหารไทยปักษ์ใต้และข้าวหมาก ทางศูนย์ต่อต้านข่าวปลอมได้ตรวจสอบข้อเท็จจริงกับ กระทรวงสาธารณสุข พบว่าขอัพเดทข้อมูลลิงก์อีกครั้ง",,https://cofact.org/article/20sm9b0rdn1rt
mostly-true--middle,ดื่มน้ำมะนาวฆ่าเชื้อโควิด19 ไม่ได้,กรณีที่มีการแชร์ข้อมูลในโลกออนไลน์ ถึงสรรพคุณของมะนาว ที่อ้างว่าสามารถรักษาโรคโควิด-19 จึงนำข้อมูลนี้ สอบถามกับแพทย์ผู้เชี่ยวชาญ ดร.นพ.พรเทพ ศิริวนารังสรรค นายกสมาคมเวชศาสตร์ป้องกัน แห่งประเทศไทย ระบุว่า มะนาวมีวิตามินซีสูง ช่วยให้ร่างกายมีภูมิคุ้มกันแต่ไม่สามารถฆ่าเชื้อไวรัสได้ดร.นพ.พรเทพ กล่าวว่า “สิ่งเหล่านี้ไม่ใช่เป็นการฆ่าเชื้อโรค แต่ไปทำให้เชื้อโรคไม่สามารถฝังเข้าไปในเซลล์ของทางเดินหายใจและปอดได้ง่าย และให้กำจัดออกทิ้งไป ยังไม่มียาใดๆ ทั้งสิ้น ในการฆ่าเชื้อไวรัส ในโลกนี้ ยาที่มีอยู่ ที่ใช้ตอนนี้คือ ยาฟาวิราเวียร์ ก็เพียงแต่ทำให้เชื้อมันอ่อนแรง และร่างกายกำจัดมันด้วยการกินมันด้วยเซลล์เม็ดเลือดขาวเท่านั้นเอง แต่อย่าไปเข้าใจผิดว่าถ้าเราป่วยหนัก แล้วไปถินพวกนี้จะทำให้เชื้อหมดไปจากร่างกาย มันเป็นไปไม่ได้” ดร.นพ.พรเทพ กล่าวอ้างอิง: Workpoint Todayแพทย์ ชี้ มะนาวมีประโยชน์ต่อสุขภาพ แต่ใช้รักษา COVID-19 ไม่ได้https://workpointnews.com/2020/03/28/lime-covid-19/จากกรณีที่มีการแชร์ข้อมูลในโลกออนไลน์ ถึงสรรพคุณของมะนาว ที่อ้างว่าสามารถรักษาโรคโควิด-19 Workpoint Today จึงนำข้อมูลนี้ สอบถามกับแพทย์ผู้เชี่ยวชาญ ดร.นพ.พรเทพ ศิริวนารังสรรค นายกสมาคมเวชศาสตร์ป้องกันอัพเดทข้อมูลลิงก์อีกครั้ง,,https://cofact.org/article/xw76fcqxroyy
middle,"""พระครูท่านหนึ่งฝันว่าได้สูตรสมุนไพรหลายชนิดมาต้มดื่มแทนน้ำแก้โรคโควิด-19 ได้ เหมือนสมัยอยุธยาต้มแก้โรคห่า"" ?","มีข้อความที่เพื่อนจากพัทลุงส่งต่อให้เพื่อน เกี่ยวกับสูตรสมุนไพรแก้โรคโควิด-19 ดังนี้พระครูท่านหนึ่งฝันว่าให้เอาขิง ข่า ตะไคร้ พริกไท กระเทียม หอมแดง ทุบละเอียดแล้วต้ม ต้องดื่มตอนอุ่นๆ จึงจะได้ผล ดื่มแทนน้ำได้ แก้โรคโควิดได้ เหมือนสมัยอโยธยาท่านก็ต้มกินกันโรคห่าได้อ๋อ มันเป็นอย่างนี้นี่เอง by อาจารย์เจษฎ์https://m.facebook.com/OhISeebyAjarnJess/photos/a.281457299003997/845839455899109/?type=3&source=57&__tn__=EH-Rอันนี้ก็แชร์กันเต็มไปหมดเลยครับ บอกว่า ""หลวงพ่อท่านหนึ่ง ฝันว่าได้สูตรสมุนไพรหลายชนิดมาต้มดื่มแทนน้ำแก้โรคโควิด-19 ได้ เหมือนสมัยอยุธยาต้มแก้โรคห่า"" ? ก็ขอบอกว่า เรื่องนี้ก็เป็นแค่ความเชื่อล้วนๆ นะคอัพเดทข้อมูลลิงก์อีกครั้ง",,https://cofact.org/article/5zouk8hrl08g
false,จริงไหม ถ้าเขย่าแอลกอฮอล์ล้างมือแล้วเป็นฟอง แปลว่าเป็นของปลอม ทำจากน้ำยาเช็ดกระจก ?,"เนื่องจากมีข่าวว่ามีการทำแอลกอฮอล์ล้างมือปลอมออกมาขาย จึงมีการเผยแพร่วิธีเชคว่าเป็นของจริงหรือไม่ออกมา ดังนี้""ถ้าเขย่าแอลกอฮล์ล้างมือแล้วเป็นฟอง แปลว่าเป็นของปลอม ทำจากน้ำยาเช็ดกระจก""",,https://cofact.org/article/1lxphxjdopbpt
false,พบลูกตำรวจ สภ. แม่ริม ติดเชื้อโควิด จำนวน 2 ราย จริงหรือ,ยาพาราเซตามอลปนเปื้อนเชื้อไวรัส,,https://cofact.org/article/1jjn686h58ua1
true,หากแพทย์ชี้ว่าเป็นผู้ต้องสงสัยติดเชื้อไวรัส COVID-19 สามารถใช้สิทธิประกันสังคม ตรวจและรักษาฟรี จริงหรือ?,หากติดเชื้อไวรัส COVID-19 มีความกังวลเรื่องค่าใช้จ่ายในการรักษาพยาบาล,,https://cofact.org/article/3vwwvz4k9pg2a
