header,link,time
ชัวร์ก่อนแชร์ : ควรกินผลไม้ตอนท้องว่างจริงหรือ?,https://tna.mcot.net/tna-93758,30/04/2559 15:04
ชัวร์ก่อนแชร์ : ระวังการเปิดไฟฉายมือถือ ซ่อมอุปกรณ์ไฟฟ้า,https://tna.mcot.net/tna-93757,01/05/2559 13:52
ชัวร์ก่อนแชร์ : กินเส้นไหนอ้วนสุด?!,https://tna.mcot.net/tna-93754,02/05/2559 14:38
ชัวร์ก่อนแชร์ : ไข่ซ้อนไข่ เป็นไปได้จริงหรือ?,https://tna.mcot.net/tna-93752,05/05/2559 14:07
ชัวร์ก่อนแชร์ : น้ำแข็งยูนิค ผสมฟอร์มาลีน จริงหรือ?,https://tna.mcot.net/tna-93751,06/05/2559 13:21
ชัวร์ก่อนแชร์ : จริงหรือไม่คนกลายร่างเป็นสุนัข?,https://tna.mcot.net/tna-93748,08/05/2559 14:46
ชัวร์ก่อนแชร์ : ตรวจมะเร็งอัณฑะด้วยที่ตรวจครรภ์?,https://tna.mcot.net/tna-93747,11/05/2559 14:24
ชัวร์ก่อนแชร์ : พริกขี้หนูแก้พิษงูได้จริงหรือ?,https://tna.mcot.net/tna-93743,14/05/2559 14:27
ชัวร์ก่อนแชร์ : กินก๋วยเตี๋ยวต้องเลี่ยงเส้นเล็ก จริงหรือ?,https://tna.mcot.net/tna-93741,15/05/2559 13:20
ชัวร์ก่อนแชร์ : หอยแครงควรงดบริโภคจริงหรือ?,https://tna.mcot.net/tna-93740,18/05/2559 13:08
ชัวร์ก่อนแชร์ : คลิปคนขายทุเรียนถ่มน้ำลาย จริงหรือ?,https://tna.mcot.net/tna-93739,20/05/2559 12:48
ชัวร์ก่อนแชร์ : ต้องงดทานกล้วยที่มี 2 สี จริงหรือ?,https://tna.mcot.net/tna-93737,21/05/2559 14:12
ชัวร์ก่อนแชร์ : ระวังกุ้งยัดไส้เจลาติน จริงหรือ?”,https://tna.mcot.net/tna-93736,22/05/2559 13:24
ชัวร์ก่อนแชร์ : น้ำส้มคั้นปลอม จริงหรือ ?,https://tna.mcot.net/tna-93733,23/05/2559 13:03
ชัวร์ก่อนแชร์ : คำเตือนพายุรุนแรงในรอบ 195 ปี จริงหรือ?,https://tna.mcot.net/tna-93731,24/05/2559 12:28
ชัวร์ก่อนแชร์ : คลิปหน้ารถเตือนภัย จริงหรือ ?,https://tna.mcot.net/tna-93730,25/05/2559 12:52
ชัวร์ก่อนแชร์ : เตือนระวังกะหล่ำปลีปลอม จริงหรือ ?,https://tna.mcot.net/tna-93728,26/05/2559 12:54
ชัวร์ก่อนแชร์ : น้ำมันก๊าดไล่งูได้ จริงหรือ?,https://tna.mcot.net/tna-93726,27/05/2559 14:45
ชัวร์ก่อนแชร์ : ไม้หนีบผ้าหนีบใบหู รักษาโรคจริงหรือ?,https://tna.mcot.net/tna-93725,28/05/2559 13:57
ชัวร์ก่อนแชร์ : กินผักสด เสี่ยงพยาธิไชตับ จริงหรือ ?,https://tna.mcot.net/tna-93724,29/05/2559 13:21
ชัวร์ก่อนแชร์ : รัฐบาลตั้งอีก 6 จังหวัดใหม่ จริงหรือ?,https://tna.mcot.net/tna-93723,30/05/2559 12:45
ชัวร์ก่อนแชร์ : เตือนภัยไข่ปลิงในผักบุ้ง จริงหรือ?,https://tna.mcot.net/tna-93717,01/06/2559 12:40
ชัวร์ก่อนแชร์ : คลิปฟ้ารั่ว ฝนตกจุดเดียว จริงหรือ?,https://tna.mcot.net/tna-93714,03/06/2559 12:36
ชัวร์ก่อนแชร์ : ใช้น้ำอัดลมดับเพลิงได้จริงหรือ ?,https://tna.mcot.net/tna-93713,05/06/2559 13:11
ชัวร์ก่อนแชร์ : คดีสะเทือนขวัญเตือนภัยยาป้าย จริงหรือ?,https://tna.mcot.net/tna-93712,06/06/2559 12:59
ชัวร์ก่อนแชร์ : เตือนรถติดแก๊สห้ามจุดไฟแช็กจริงหรือ?,https://tna.mcot.net/tna-93707,07/06/2559 12:57
ชัวร์ก่อนแชร์ : คลิปรถลอยคว้างกลางแยกจริงหรือ?,https://tna.mcot.net/tna-93705,08/06/2559 12:59
ชัวร์ก่อนแชร์ : กล้วยน้ำว้า 4 สี ต่างคุณประโยชน์จริงหรือ?,https://tna.mcot.net/tna-93703,09/06/2559 13:07
ชัวร์ก่อนแชร์ : ต้องระวัง add LINE แจกเหรียญ จริงหรือ?,https://tna.mcot.net/tna-93702,13/06/2559 14:07
ชัวร์ก่อนแชร์ : อันตรายใช้มือถือขณะชาร์จ จริงหรือ?,https://tna.mcot.net/tna-93701,14/06/2559 13:54
ชัวร์ก่อนแชร์ : แฉเว็บปลอม ตอนที่ 1 กับดักโซเชียล,https://tna.mcot.net/tna-93704,15/06/2559 11:14
ชัวร์ก่อนแชร์ : เตือนภัยเว็บปลอม ตอน 1,https://tna.mcot.net/tna-93699,15/06/2559 13:14
ชัวร์ก่อนแชร์ : เตือนภัยเว็บปลอม ตอน 2,https://tna.mcot.net/tna-93698,17/06/2559 12:53
ชัวร์ก่อนแชร์ : เตือนภัยเว็บปลอม ตอน 3,https://tna.mcot.net/tna-93697,18/06/2559 14:13
ชัวร์ก่อนแชร์ : ดื่มชาใบมะกรูดลดความดันจริงหรือ?,https://tna.mcot.net/tna-93694,19/06/2559 13:39
ชัวร์ก่อนแชร์ : มะกรูดโซดา ลดไขมันจริงหรือ?,https://tna.mcot.net/tna-93688,23/06/2559 13:02
ชัวร์ก่อนแชร์ : เตือนอันตราย Wi-Fi สาธารณะ จริงหรือ?,https://tna.mcot.net/tna-93687,27/06/2559 13:29
ชัวร์ก่อนแชร์ : เตือนภัยกุญแจผีไขรถได้ทุกคัน จริงหรือ?,https://tna.mcot.net/tna-93686,28/06/2559 14:26
ชัวร์ก่อนแชร์ : ระวังปล่อยตัวนักโทษ 38000 คน จริงหรือ?,https://tna.mcot.net/tna-93680,29/06/2559 13:23
ชัวร์ก่อนแชร์ : ต้นมักกะลีผล มีจริงหรือ?,https://tna.mcot.net/tna-93681,30/06/2559 13:32
ชัวร์ก่อนแชร์ : อุปกรณ์ช่วยประหยัดไฟฟ้าจริงหรือ?,https://tna.mcot.net/tna-93679,02/07/2559 15:21
ชัวร์ก่อนแชร์ : เตือน LINE จะหมดอายุ จริงหรือ?,https://tna.mcot.net/tna-93676,06/07/2559 13:36
ชัวร์ก่อนแชร์ : ถนนลาดน้ำยางพาราอันตราย จริงหรือ?,https://tna.mcot.net/tna-93674,07/07/2559 12:31
ชัวร์ก่อนแชร์ : ผู้สูงอายุเสียชีวิตได้รับ 2000 บาท จริงหรือ?,https://tna.mcot.net/tna-93672,08/07/2559 12:55
ชัวร์ก่อนแชร์ : พร้อมเพย์ อันตราย จริงหรือ ?,https://tna.mcot.net/tna-93671,09/07/2559 14:53
ชัวร์ก่อนแชร์ : เตือนยาที่ถูกเพิกถอน-บะหมี่ถ้วยอันตราย จริงหรือ?,https://tna.mcot.net/tna-93667,12/07/2559 13:24
ชัวร์ก่อนแชร์ : สูตรกระเทียมทะลวงหลอดเลือดจริงหรือ?,https://tna.mcot.net/tna-93666,13/07/2559 14:08
ชัวร์ก่อนแชร์ : ถ้ามือถือหายให้แจ้งบล็อกได้จริงหรือ?,https://tna.mcot.net/tna-93664,14/07/2559 12:54
ชัวร์ก่อนแชร์ : แฉเว็บปลอม ตอนที่ 2 ผ่าเว็บปลอม,https://tna.mcot.net/tna-93665,16/07/2559 06:03
ชัวร์ก่อนแชร์ : ใบยอมะตูมรักษาโรคไตได้จริงหรือ ?,https://tna.mcot.net/tna-93663,17/07/2559 13:29
ชัวร์ก่อนแชร์ : คลิปทำคลอดปลากระเบน ควรหรือ ?,https://tna.mcot.net/tna-93662,18/07/2559 13:38
ชัวร์ก่อนแชร์ : ระวัง! ไฮโดรเพลนอันตรายจริงหรือ?,https://tna.mcot.net/tna-93661,19/07/2559 14:11
ชัวร์ก่อนแชร์ : คลิปวิธีพ่วงแบตรถยนต์ที่ถูกต้อง จริงหรือ?,https://tna.mcot.net/tna-93660,20/07/2559 14:04
ชัวร์ก่อนแชร์ : ภาพชุดท่าแก้ปวดเมื่อย ช่วยได้จริงหรือ?,https://tna.mcot.net/tna-93658,21/07/2559 13:51
ชัวร์ก่อนแชร์ : เคล็ดลับใช้มือถือ 4 ประการ จริงหรือ?,https://tna.mcot.net/tna-93659,22/07/2559 14:13
ชัวร์ก่อนแชร์ : น้ำแร่ อันตราย ทำให้เป็นนิ่วจริงหรือ ?,https://tna.mcot.net/tna-93657,23/07/2559 15:29
ชัวร์ก่อนแชร์ : แฉเว็บปลอม ตอนที่ 3 ขบวนการขายความเท็จ,https://tna.mcot.net/tna-93653,24/07/2559 14:42
ชัวร์ก่อนแชร์ : ปศุสัตว์ยืนยัน ซื้อไก่สดจากตลาด ยังต้องล้างก่อนปรุงสุก,https://tna.mcot.net/tna-93644,24/07/2559 16:43
ชัวร์ก่อนแชร์ : ร่วมกันแชร์ช่วยเด็กดักแด้ ได้จริงหรือ ?,https://tna.mcot.net/tna-93643,30/07/2559 15:32
ชัวร์ก่อนแชร์ : ประชามติ รับเลย ไม่ต้องอ่าน จริงหรือ?,https://tna.mcot.net/tna-93642,01/08/2559 12:21
ชัวร์ก่อนแชร์ : ร่างรัฐธรรมนูญยกเลิกเรียนฟรี ม.ปลาย จริงหรือ?,https://tna.mcot.net/tna-93640,02/08/2559 12:36
ชัวร์ก่อนแชร์ : ร่างรัฐธรรมนูญกระทบศาสนา จริงหรือ?,https://tna.mcot.net/tna-93639,03/08/2559 12:23
ชัวร์ก่อนแชร์ : ร่าง รธน. โทษหนักประหารชีวิต จริงหรือ?,https://tna.mcot.net/tna-93638,05/08/2559 12:16
ชัวร์ก่อนแชร์ : ขนมปังปลอมผสมพลาสติกตรวจสอบได้ด้วยการเผา จริงหรือ?,https://tna.mcot.net/tna-93636,06/08/2559 14:41
ชัวร์ก่อนแชร์ : โพสต์นิ้วโป้ง เสี่ยงถูกแฮกจริงหรือ?,https://tna.mcot.net/tna-34564,08/08/2559 14:06
ชัวร์ก่อนแชร์ : คลื่นมือถือทำป๊อปคอร์นได้จริงหรือ?,https://tna.mcot.net/tna-34276,09/08/2559 13:41
ชัวร์ก่อนแชร์ : มะกรูด-มะนาว รักษาเบาหวานจริงหรือ?,https://tna.mcot.net/tna-33972,10/08/2559 13:41
ชัวร์ก่อนแชร์ : รู้ทัน 5 ข่าวเก่า ที่เอามาแชร์ใหม่,https://tna.mcot.net/tna-33238,13/08/2559 12:37
ชัวร์ก่อนแชร์ : ดื่มกะทิผสมมะพร้าวช่วยลดพุงจริงหรือ?,https://tna.mcot.net/tna-32715,15/08/2559 12:55
ชัวร์ก่อนแชร์ : แป้งหมี่รักษาแผลไฟลวกจริงหรือ?,https://tna.mcot.net/tna-32409,16/08/2559 13:40
ชัวร์ก่อนแชร์ : เม็ดแมงลักลดความอ้วนจริงหรือ?,https://tna.mcot.net/tna-32098,17/08/2559 13:10
ชัวร์ก่อนแชร์ : เล็บวงพระจันทร์บ่งชี้ปัญหาสุขภาพจริงหรือ?,https://tna.mcot.net/tna-31815,18/08/2559 13:19
ชัวร์ก่อนแชร์ : คลิปเตือนระวังไข่ปลอมจริงหรือ?,https://tna.mcot.net/tna-31523,19/08/2559 13:24
ชัวร์ก่อนแชร์ : แมลงอันตราย พิษร้ายตายลูกเดียว จริงหรือ?,https://tna.mcot.net/tna-31287,20/08/2559 14:16
ชัวร์ก่อนแชร์ : ใช้ฟอร์มาลินอุ้มปลาทับทิม จริงหรือ ?,https://tna.mcot.net/tna-29609,26/08/2559 13:48
ชัวร์ก่อนแชร์: เตือนภัยเอทีเอ็มอันตราย จริงหรือ ?,https://tna.mcot.net/tna-29411,27/08/2559 12:49
ชัวร์ก่อนแชร์ : ต้องระวังไก่ฉีดฮอร์โมน จริงหรือ?,https://tna.mcot.net/tna-28901,29/08/2559 12:34
ชัวร์ก่อนแชร์ : วิธีประหยัดค่าไฟ ใช้ได้จริงหรือ ?,https://tna.mcot.net/tna-28248,31/08/2559 13:17
ชัวร์ก่อนแชร์ : โซดามะนาวทำให้เกิดแผลในกระเพาะจริงหรือ?,https://tna.mcot.net/tna-27949,01/09/2559 13:50
ชัวร์ก่อนแชร์ : ขนมปังกับน้ำส้มสายชูแก้นิ้วล็อก จริงหรือ?,https://tna.mcot.net/tna-27675,02/09/2559 12:49
ชัวร์ก่อนแชร์ : ห้ามใช้ก้านสำลีปั่นหูจริงหรือ ?,https://tna.mcot.net/tna-27429,03/09/2559 14:13
ชัวร์ก่อนแชร์ : ซากมังกรทิเบต จริงหรือ?,https://tna.mcot.net/tna-26914,05/09/2559 13:07
ชัวร์ก่อนแชร์ : ตรวจสอบคลิปจานบินโผล่มาเลเซีย จริงหรือ?,https://tna.mcot.net/tna-26568,06/09/2559 13:32
ชัวร์ก่อนแชร์ : ตรวจสอบภาพตำรวจหน้าเหมือนเณรคำ จริงหรือ?,https://tna.mcot.net/tna-26261,07/09/2559 13:43
ชัวร์ก่อนแชร์ : น้ำมันพืชทาไข่สดเก็บได้นานจริงหรือ?,https://tna.mcot.net/tna-25673,09/09/2559 14:13
มี พ.ร.บ.จราจรใหม่ ปรับหนัก จริงหรือ ?,https://tna.mcot.net/tna-25485,10/09/2559 13:29
ชัวร์ก่อนแชร์ : 11 อาหารอันตราย ห้ามอุ่นซ้ำ จริงหรือ ?,https://tna.mcot.net/tna-25269,11/09/2559 14:27
ชัวร์ก่อนแชร์ : เตือนอีเมลอันตราย คลิกแล้วเงินหายจริงหรือ?,https://tna.mcot.net/tna-24994,12/09/2559 12:40
ชัวร์ก่อนแชร์ : มะนาว-กานพลูไล่ยุงได้จริงหรือ?,https://tna.mcot.net/tna-24342,14/09/2559 13:12
ชัวร์ก่อนแชร์ : น้ำแข็งแห้งอันตรายจริงหรือ?,https://tna.mcot.net/tna-24025,15/09/2559 13:18
“ชัวร์ก่อนแชร์ : แฉเว็บปลอม” โดย สำนักข่าวไทย อสมท คว้ารางวัลข่าวดิจิตอลยอดเยี่ย,https://tna.mcot.net/tna-21892,23/09/2559 11:14
ชัวร์ก่อนแชร์ : กฎหมายที่คนแจ้งได้เงิน จริงหรือ?,https://tna.mcot.net/tna-21630,24/09/2559 13:59
ชัวร์ก่อนแชร์ : รถหาย ไม่ต้องผ่อนกุญแจต่อ จริงหรือ?,https://tna.mcot.net/tna-21130,26/09/2559 12:33
ชัวร์ก่อนแชร์ : ต้องระวังน้ำตาลในผลไม้จริงหรือ?,https://tna.mcot.net/tna-20847,27/09/2559 12:34
ชัวร์ก่อนแชร์ : ตู้แช่คืนชีพปลาแช่แข็ง มีจริงหรือ?,https://tna.mcot.net/tna-20548,28/09/2559 13:28
ชัวร์ก่อนแชร์ : มังคุดนึ่งรักษามะเร็ง จริงหรือ?,https://tna.mcot.net/tna-19950,30/09/2559 12:28
ชัวร์ก่อนแชร์ : กลโกงหลอกเครื่องนับธนบัตรได้ จริงหรือ?,https://tna.mcot.net/tna-19230,03/10/2559 12:32
ชัวร์ก่อนแชร์ : คลิปเจอพยาธิในหอยแมลงภู่ จริงหรือ?,https://tna.mcot.net/tna-18915,04/10/2559 12:38
ชัวร์ก่อนแชร์ : แบตฯ แห้งต้องแห้ง จริงหรือ?,https://tna.mcot.net/tna-18630,05/10/2559 12:46
ชัวร์ก่อนแชร์ : แกว่งแขนอันตรายจริงหรือ?,https://tna.mcot.net/tna-18351,06/10/2559 12:56
ชัวร์ก่อนแชร์ : ลูกครึ่งไม่ต้องเกณฑ์ทหารจริงหรือ?,https://tna.mcot.net/tna-18042,07/10/2559 12:49
ชัวร์ก่อนแชร์: รับซื้อมือถือเก่าเอาไปประกอบระเบิด จริงหรือ ?,https://tna.mcot.net/tna-17873,08/10/2559 12:25
ชัวร์ก่อนแชร์ : ปีนี้ไทยจะหนาวสุดในรอบ 2-3 ปีจริงหรือ?,https://tna.mcot.net/tna-17341,10/10/2559 13:19
ชัวร์ก่อนแชร์ : เจียระไนขวดแก้วเป็นเพชรได้จริงหรือ?,https://tna.mcot.net/tna-17010,11/10/2559 13:12
ชัวร์ก่อนแชร์ : โทรผ่านไลน์เสี่ยงทำร้ายสมอง 9 เท่า จริงหรือ?,https://tna.mcot.net/tna-16704,12/10/2559 13:17
ชัวร์ก่อนแชร์: ผู้อายุน้อยต้องสวมชุดไว้ทุกข์เป็นสีขาว จริงหรือ ?,https://tna.mcot.net/tna-15849,16/10/2559 14:56
ชัวร์ก่อนแชร์ เตือนขับรถทับเศษผ้า เสี่ยงรถคว่ำ ?,https://tna.mcot.net/tna-14029,24/10/2559 14:21
ชัวร์ก่อนแชร์ : คลิปเจ้าของบ่อน้ำมันถูกเอาเปรียบ จริงหรือ?,https://tna.mcot.net/tna-13791,25/10/2559 14:24
ชัวร์ก่อนแชร์ : แมมโมแกรมทำให้เป็นมะเร็งเต้านมจริงหรือ?,https://tna.mcot.net/tna-13501,26/10/2559 14:33
ชัวร์ก่อนแชร์ : แพทย์เตือนไข้หวัดใหญ่ระบาดหนักจริงหรือ?,https://tna.mcot.net/tna-13003,28/10/2559 13:51
ชัวร์ก่อนแชร์: ระวังภัยอาหารสุญญากาศ จริงหรือ ?,https://tna.mcot.net/tna-12848,29/10/2559 12:57
ชัวร์ก่อนแชร์ : ขายข้าวสารผ่าน Facebook ผิดกฎหมายจริงหรือ?,https://tna.mcot.net/tna-12354,31/10/2559 13:29
ชัวร์ก่อนแชร์ : สงครามโลกครั้งที่ 3 เริ่มแล้ว จริงหรือ?,https://tna.mcot.net/tna-11719,02/11/2559 13:11
ชัวร์ก่อนแชร์ : รถหายในห้าง ห้างต้องรับผิดชอบจริงหรือ?,https://tna.mcot.net/tna-11361,03/11/2559 13:08
ชัวร์ก่อนแชร์ : เตือนระวังปลาหมึกปลอมจริงหรือ?,https://tna.mcot.net/tna-11057,04/11/2559 13:41
ชัวร์ก่อนแชร์: รางวัลโนเบล อดอาหารป้องกันโรค จริงหรือ ?,https://tna.mcot.net/tna-10843,05/11/2559 13:21
ชัวร์ก่อนแชร์ : มีอาหารศัตรูมะเร็งจริงหรือ?,https://tna.mcot.net/tna-10357,07/11/2559 14:07
ชัวร์ก่อนแชร์ : เว็บลงทะเบียนรับแสตมป์อันตรายจริงหรือ?,https://tna.mcot.net/tna-10082,08/11/2559 14:11
ชัวร์ก่อนแชร์ : ชามีกาเฟอีนมากกว่ากาแฟจริงหรือ?,https://tna.mcot.net/tna-9776,09/11/2559 13:11
ชัวร์ก่อนแชร์ : คลิปผลิตข้าวสารปลอมจริงหรือ?,https://tna.mcot.net/tna-9482,10/11/2559 13:08
ชัวร์ก่อนแชร์ : บำเหน็จชราภาพได้เงินยากจริงหรือ?,https://tna.mcot.net/tna-9150,11/11/2559 13:40
ชัวร์ก่อนแชร์: ไม่สบาย ไม่ควรดื่มนม จริงหรือ ?,https://tna.mcot.net/tna-8935,12/11/2559 13:33
ชัวร์ก่อนแชร์: ไมโครเวฟต้มไข่ ระเบิดใส่หน้า จริงหรือ ?,https://tna.mcot.net/tna-7172,19/11/2559 13:15
ชัวร์ก่อนแชร์ : คอเลสเตอรอลมีแต่ประโยชน์ ไม่มีโทษ จริงหรือ?,https://tna.mcot.net/tna-6753,21/11/2559 13:05
ชัวร์ก่อนแชร์ : ระวังมันฝรั่งที่มีหน่องอกอันตรายถึงตาย จริงหรือ?,https://tna.mcot.net/tna-6431,22/11/2559 13:15
ชัวร์ก่อนแชร์ : TT&T ล้มละลาย-ยุติบริการจริงหรือ?,https://tna.mcot.net/tna-6128,23/11/2559 13:12
ชัวร์ก่อนแชร์ : บริจาคโลหิตทำให้อ้วนจริงหรือ?,https://tna.mcot.net/tna-5852,24/11/2559 12:51
ชัวร์ก่อนแชร์ : วัดพระบาทน้ำพุจะปิด จริงหรือ?,https://tna.mcot.net/tna-5568,25/11/2559 12:55
ชัวร์ก่อนแชร์ : ยาเสพติดใหม่ระบาดในโรงเรียนจริงหรือ?,https://tna.mcot.net/tna-4859,28/11/2559 13:19
ชัวร์ก่อนแชร์ : กินปลาดิบเสี่ยงพยาธิขึ้นตาจริงหรือ?,https://tna.mcot.net/tna-4531,29/11/2559 13:12
ชัวร์ก่อนแชร์ : น้ำยี่หร่าคั่วต้มแก้เจ็บคอจริงหรือ?,https://tna.mcot.net/tna-4211,30/11/2559 13:18
ชัวร์ก่อนแชร์ : พิสูจน์คลิปทำที่ชาร์จมือถือแบบไร้สายจริงหรือ?,https://tna.mcot.net/tna-3907,01/12/2559 13:48
ชัวร์ก่อนแชร์ : คนที่สักร่างกายห้ามบริจาคเลือดจริงหรือ?,https://tna.mcot.net/tna-3609,02/12/2559 14:02
ชัวร์ก่อนแชร์ : เตือนภัยขนมผสมควันเสี่ยงจริงหรือ ?,https://tna.mcot.net/tna-3199,04/12/2559 13:44
ชัวร์ก่อนแชร์: เตือนนั่งเรือสปีดโบ๊ต อย่านั่งที่หัวเรือ จริงหรือ ?,https://tna.mcot.net/tna-3009,05/12/2559 15:26
ชัวร์ก่อนแชร์ : มันเทศช่วยลดความอ้วนได้จริงหรือ?,https://tna.mcot.net/tna-2721,06/12/2559 12:49
ชัวร์ก่อนแชร์ : ภาพตรวจสุขภาพตาใช้ได้จริงหรือ?,https://tna.mcot.net/tna-2381,07/12/2559 13:17
ชัวร์ก่อนแชร์ : เบอร์ฉุกเฉินประจำจังหวัดใช้ได้จริงหรือ?,https://tna.mcot.net/tna-2089,08/12/2559 13:13
ชัวร์ก่อนแชร์ : ตำรวจช่างซ่อมรถฟรีทั่วประเทศจริงหรือ?,https://tna.mcot.net/tna-1796,09/12/2559 13:09
ชัวร์ก่อนแชร์: มะนาวร้อนทำลายมะเร็ง อาหารมื้อดึกเสี่ยงมะเร็ง จริงหรือ ?,https://tna.mcot.net/tna-1597,10/12/2559 13:57
ชัวร์ก่อนแชร์ : ไขมันมะพร้าวดีจริงหรือ ?,https://tna.mcot.net/tna-1166,12/12/2559 12:43
ชัวร์ก่อนแชร์ : อาหารมื้อเย็น กินแล้วตายเร็ว จริงหรือ ?,https://tna.mcot.net/tna-510,14/12/2559 12:54
ชัวร์ก่อนแชร์ : กินปลาแซลมอน อันตรายจริงหรือ?,https://tna.mcot.net/tna-64762,19/12/2559 13:34
ชัวร์ก่อนแชร์ : ห้ามนอนตะแคงขวา จริงหรือ?,https://tna.mcot.net/tna-64465,20/12/2559 12:43
ชัวร์ก่อนแชร์: ชายไทยอายุไม่เกิน 60 ปี ต้องถูกเรียกฝึกทหาร จริงหรือ ?,https://tna.mcot.net/tna-93163,22/12/2559 13:27
ชัวร์ก่อนแชร์: ขมิ้นชันประโยชน์เยอะ จริงหรือ?,https://tna.mcot.net/tna-92879,23/12/2559 13:18
ชัวร์ก่อนแชร์ : เตือนภัยแก๊งยัดยาเสพติดเรียกค่าไถ่จริงหรือ?,https://tna.mcot.net/tna-92187,26/12/2559 13:06
ชัวร์ก่อนแชร์ : เปลี่ยนยางใหม่ ต้องใส่ล้อหลังก่อนจริงหรือ?,https://tna.mcot.net/tna-91861,27/12/2559 13:24
ชัวร์ก่อนแชร์ : 2559 ข่าวปลอม ป่วนโลก?,https://tna.mcot.net/tna-91549,28/12/2559 14:02
ชัวร์ก่อนแชร์ : สารพัดแชร์รักษาโรคร้าย,https://tna.mcot.net/tna-67733,29/12/2559 13:27
ชัวร์ก่อนแชร์ : แชร์แล้วเงิบ!,https://tna.mcot.net/tna-67429,30/12/2559 13:25
ชัวร์ก่อนแชร์ แห่งปี 2559,https://tna.mcot.net/tna-67246,31/12/2559 12:42
ชัวร์ก่อนแชร์ : ห้ามแปรงฟันหลังอาหารทันที จริงหรือ?,https://tna.mcot.net/tna-67048,01/01/2560 12:48
ชัวร์ก่อนแชร์ : กินน้ำมันปาล์มช่วยลดความดัน จริงหรือ?,https://tna.mcot.net/tna-66774,02/01/2560 13:59
ชัวร์ก่อนแชร์ : เตือนกินน้ำอัดลม ผสมสีอันตรายจริงหรือ ?,https://tna.mcot.net/tna-66202,04/01/2560 13:46
ชัวร์ก่อนแชร์ : ห้ามแปรงฟันหลังดื่มน้ำอัดลม จริงหรือ ?,https://tna.mcot.net/tna-91194,05/01/2560 14:22
ชัวร์ก่อนแชร์ : ม.44 ให้รถเก๋ง-รถกระบะนั่ง 4 คน จริงหรือ ?,https://tna.mcot.net/tna-87646,07/01/2560 12:57
ชัวร์ก่อนแชร์ : เตือนศูนย์กลางพายุที่ภูเก็ต จริงหรือ ?,https://tna.mcot.net/tna-86767,10/01/2560 13:35
